abbrev	meaning	pāli	example	explanation
3	declined in all three gender			
･	root has verbs which are derived from it			
()	letters deleted from construction		√dhā > <b>(</b>da<b>)</b>h + ita > hita	
[]	letters added to construction		pari + <b>[</b>y<b>]</b> + √i > āy + *a > pariyāya	
*	vuddhi or vowel strengthening takes place	vuḍḍhi	√bhū + <b>*</b>e > bhāve	
×	root has no verbs which are derived from it			
>	indicates morphological change occurs	āpajjate	√ñā + nā <b>></b> jānā	
~	how complete is a word's information?<br/><span class='gray'>✓</span> word data is complete with contextual meaning, grammar, sutta example and other relevant information<br/><span class='gray'>~</span> word data is partially complete with a meaning in context but minimal other information<br/><span class='gray'>✗</span> word data is still under construction			
√	root symbol	dhātu	<b>√</b>bhū 1 a (to be)	A root is the irreducible core meaning of a word, stripped of all affixes
✓	how complete is a word's information?<br/><span class='gray'>✓</span> word data is complete with contextual meaning, grammar, sutta example and other relevant information<br/><span class='gray'>~</span> word data is partially complete with a meaning in context but minimal other information<br/><span class='gray'>✗</span> word data is still under construction			
✗	how complete is a word's information?<br/><span class='gray'>✓</span> word data is complete with contextual meaning, grammar, sutta example and other relevant information<br/><span class='gray'>~</span> word data is partially complete with a meaning in context but minimal other information<br/><span class='gray'>✗</span> word data is still under construction			
1st	first person	uttama; uttamapurisa	mayaṃ - pron <b>1st</b> nom sg of ahaṃ	I; we
2nd	second person	majjhima; majjhimapurisa	ehi - verb imp <b>2nd</b> sg from eti	you; you all
3rd	third person	paṭhama; paṭhamapurisa	hontu - verb imp <b>3rd</b> pl from hoti	he; they
abbrev	abbreviation			
ABD	Abhidhāna Dictionary			"The Pāḷi Myanmar Abhidhān is the largest Pāḷi dictionary in the world, currently more than 23 volumes in size and including every word in the Mūla and Commentaries. There is currently a project underway to translate the dictionary into English.<br/><a class=""link"" href=""https://github.com/bksubhuti/Tipitaka-Pali-Projector"">inside TPP</a>"
abl	ablative case	pañcamī, apādanavacana, avadhi, apādāna, nissakka	tato - pron, <b>abl</b> sg of ta	generally showing separation (from, away from)<br/>(e.g. from that)
abs	absolutive verb	avyaya, pubbakicca	upasaṅkamitvā; katvā	A verb, often a combination of having + past participle, expressing completed action (e.g. having approached; having made)
abstr	abstract noun		abyāpāda - masc <b>abstr</b>	A concept or idea not associated with any specific instance or any concrete thing (e.g. friendliness)
acc	accusative case	dutiyā, upayogavacana, kammavacana	maṃ - pron, 1st <b>acc</b> sg	the object of the sentence (e.g. me)
act	action noun		pahāna - nt <b>act</b>	Noun describing an active process (e.g) abandoning
ADHa	Abhidhamma Aṭṭhakathā			
ADHt	Abhidhamma Ṭīkā			
adj	adjective	guṇavacana	pāpaka; kalyāṇa; anicca	A word that expresses an attribute of something; usually qualify a noun (e.g. bad, good, impermanent)
ADT	Abhidhammamātikāpāḷi			
adv	adverb	kriyāvisesana	idha - ind <b>adv</b>	The word class that qualifies verbs or clauses (e.g. here)
agent	agent noun	kattar; kattukāraka; kattuvācakapada	bhāsitar; cora; sāvaka	A person who does the action of the verbal root (e.g. speaker; thief; hearer)
AN	Aṅguttara Nikāya			Book 4 of the Sutta Piṭaka; Numbered Discourses; lit. one part more collection
ANa	Aṅguttara Nikāya Aṭṭhakathā	Manorathapūraṇī		Commentary on the Aṅguttara Nikāya compiled by Ven. Buddhaghosa; the “Fulfiller of Wishes”; lit. which fills with mental delight
ANt	Aṅguttara Nikāya Tīkā	Sāratthamañjūsā		
aor	aorist verb	ajjatanī; atītakāla	ahosi; nisīdi; udapādi	A form of a verb that, in the indicative mood, expresses past action. (e.g. was; sat down; arose)
APA	Therāpadāna			Book 10 of the Khuddaka Nikāya; Legends of the Elder Monks
APAa	Therāpadāna Aṭṭhakathā			
API	Therīapadāna			Book 11 of the Khuddaka Nikāya; Legends of the Elder Nuns
APIa	Therīapadāna Aṭṭhakathā			
APP	Abhidhānappadīpikāpāṭha			
app	active past participle		bhuttāvī; dassāvī	e.g. who has eaten; who has seen
APt	Abhidhānappadīpikā Ṭīkā			A fourteenth century Pāḷi thesaurus.
base	pronominal base	liṅga	ta; ima; ya; kaci	e.g. that, this, which, someone
BD	Concise Pali English Dictionary (by Ven. Buddhadatta)			"<a class=""link"" href=""http://www.ahandfulofleaves.org/documents/concise%20pali%20english%20dictionary_buddhadatta.pdf"">web-link</a>"
BDN	Buddhist Dictionary by Ven. Ñāṇatiloka Mahathera			"<a class=""link"" href=""https://www.palikanon.com/english/wtb/dic_idx.html"">web-link</a>"
BSK	Edgerton's Buddhist Hybrid Sanskrit Dictionary			"<a class=""link"" href=""https://www.sanskrit-lexicon.uni-koeln.de/scans/BHSScan/2020/web/index.php"">web-link</a>"
BV	Buddhavaṃsa			Book 12 of the Khuddaka Nikāya; “The Chronicle of the Buddhas”
BVa	Buddhavaṃsa Aṭṭhakathā	Madhuratthavilāsinī		
card	cardinal number	saṅkhyāpadhāna	cattāro; pañca; eka	The number of elements in a mathematical set; denotes a quantity but not the order (e.g. four, five; one)
caus	causative verb	kārita; hetvatthakriyā	bhāveti; samādapeti; paññapeti	Causative verbs indicate that one person causes another person to do something. (e.g. causes to become; encourages; causes to know)
CDB	The Connected Discourses of the Buddha: A New Translation of the Samyutta Nikaya by Bhikkhu Bodhi			
CMA	Comprehensive Manual of Abhidhamma by Bhikkhu Bodhi			"<a class=""link"" href=""https://www.saraniya.com/books/meditation/Bhikkhu_Bodhi-Comprehensive_Manual_of_Abhidhamma.pdf"">read online</a>"
CND	Cūḷaniddesa			Book 17 of the Khuddaka Nikāya; canonical commentary on the Pārāyanavagga of the Sutta Nipāta; lit. smaller detailed analysis
comm	commentary meaning			English summary from the commentary definition
comp	compound	samāsa	yathābhūta; gahapati; sikkhāpada	When two or more words are combined to form a single unit
comp vb	compound verb		etadavoca; manasikaroti; pāturahosi	When verb is combined with another word(s) to form a single unit
compar	comparative adjective		anuttara; purima; paṇītatara	The comparative form of an adjective (e.g. higher, earlier, more sublime)
comps	in compounds. word is only found as an element within compounds words			
cond	conditional mood	kālātipatti; sattamī	abhavissa; agamissa	Imposing or depending on or containing a condition (e.g. if would be; if could have been; would have gone)
Cone	Pali Dictionary by Margaret Cone			
CP	Cariyā Piṭaka			Book 13 of the Khuddaka Nikāya; the Basket of Conduct
CPa	Cariyāpiṭaka Aṭṭhakathā, Paramatthadīpanī			
CPD	Critical Pāli Dictionary			"<a class=""link"" href=""https://cpd.uni-koeln.de"">web-link</a>"
cs	conjugational sign			
CST	Chaṭṭha Saṅgāyana Tipiṭaka, Sixth Council Version of the texts encoded by the Vipassana Research Institute			
dat	dative case	catutthī, sampadānavacana	hitāya - noun, nt <b>dat</b> sg of hita	showing the object or person to or for whom something is given or done. (to; for)<br/>(e.g. for the benefit)
deno	denominative verb			
derog	derogatory			
desid	desiderative verb	tumicchattha		
DHK	Dhātukathāpāḷi			
DHP	Dhammapada			Book 2 of the Khuddaka Nikāya; Dhamma Verses
DHPa	Dhammapada Aṭṭhakathā,			Commentary to Dhammapada compiled by Ven. Buddhaghosa; part of  “Illumination of the Ultimate Truth”
DHS	Dhammasaṅgaṇīpāḷi			
DHSt	Dhammasaṅgaṇī Ṭīkā			
dial	dialect, non Indo-Aryan word		dhāropa; māḷa	Vocabulary that is characteristic of a specific group of people or specific place
dimin	diminutive noun		dāraka; phusitaka; kuṭikā	A word that is formed with a suffix (such as -let or -ing) to indicate smallness (e.g. booklet, droplet)
ditrans	ditransitive verb	dvikammaka	pucchati; yācati	A verb (or verb construction) that takes two objects in the accusative case. (e.g. asks someone for something)
DN	Dīgha Nikāya			Book 1 of the Sutta Piṭaka; Collection of Long Discourses; lit. long collection
DNa	Dīgha Nikāya Aṭṭhakathā, Sumaṅgalavilāsinī			Commentary on the Dīgha Nikāya compiled by Ven. Buddhaghosa; lit. very auspicious and charming
DNt	Dīgha Nikāya Ṭīkā, Sādhuvilāsinī			
DS	Dhammasaṅgaṇī			Book 1 of the Abhidhamma Piṭaka; enumeration of phenomena
DSa	Dhammasaṅgaṇī aṭṭhakathā			Commentary on the Dhammasaṅgaṇi compiled by Ven. Buddhaghosa;  “Exposition of Meaning”
DSṭ	Dhammasaṅgaṇī mūlaṭīkā			
emph	emphatic particle		eva; kho; have	Express some emphasis or stress something (e.g. only; just; indeed)
EV	Elder's Verses by K.R.Norman			
excl	exclamation		aho; abbhutaṃ; ambho	Expressing spontaneous feelings, reactions or make the sentences stronger. Sometimes used to attract attention. (e.g. oh no! most certainly! wonderful! hey!)
fem	feminine noun	itthī; itthiliṅga	āpatti; vedanā; bhikkhunī	
fut	future tense	bhavissantī; anāgatakāla	bhavissati; gamissati; assasissati	A verb tense that expresses actions or states in the future
gen	genitive case	chaṭṭhī, sāmivacana, sambandha	me - pron, 1st <b>gen</b> sg of ahaṃ	showing possession (of 's)<br/>(e.g. my, mine)
gen abs	genitive absolute construction		me sato; tassa jānato passato	When a noun or a pronoun in the genitive case is used with a participle in the same case as itself, the construction is called genitive absolute. It can be translated as when, while, since, or as. Sometimes it also has the meaning of since, although, even if, despite, in spite of, notwithstanding.
ger	gerund. a verb, often ending in -ing, expressing ongoing action	avyaya; bhāvapada	upasampajja; pahāya; ādāya	A verb (or verbal adjective), often ending in -ing, expressing ongoing action (eg. doing; making; going).
gram	grammatical term, technical term		padasandhi	
idiom	idiomatic expression	bhāsārītyanugata	app'eva nāma	A manner of speaking that is natural to native speakers of a language or an expression whose meanings cannot be inferred from the meanings of the words that make it up
imp	imperative mood	pañcamī; idānaṃ	gaccha; atthu; hotu	Mood that expresses an intention to influence the listener's behavior or expresses wish. (e.g. begone! may there be! may it be!)
imperf	imperfect past tense	hiyyattanī; hīyattanī	addasā; ahuvā; accagamā	Past tense which is used for events which happened before yesterday, but were seen by the speaker.
impers	impersonal	bhāva	paṭibhāti; kappati	Not relating to or responsive to individual persons (e.g. it occurs (to); it is suitable (for))
in comps	in compounds. word is only found in compounds words		anupassī; paṭisaṃvedī	Usually acts as part of a compoun
ind	indeclinable word	nipāta; avyaya	api; pana; atha	It does not have declensions or conjugations.
inf	infinitive verb	tumanta; avyaya	kātuṃ; pahātuṃ; carituṃ	The uninflected form of the verb. It most commonly expresses a purpose.
instr	instrumental case	tatiyā, karaṇavacana	mayā - pron 1st <b>instr</b> sg of ahaṃ	shows the object or person with or by whom something is performed. (by, with or through)<br/>(e.g. by me, with me)
intens	intensive verb		caṅkamati; jaṅgamati	Also called Frequentative Verbs, express the frequent repetition or the intensification of the action denoted by the simple root.
interr	interrogative pronoun	pucchāsabhāva	kiṃ; kissa; kittaka	Has the nature of asking a question. (who? how? perhaps? how many?)
intrans	intransitive verb	akammaka; akammagāhī	hoti; ujjhāyati; vijjati	A verb (or verb construction) that does not take an object in the accusative case. sometimes they take what appears to be an object in another case. (e.g. there is; is conducive to)
irreg	irregular conjugation or declension		kammunā - noun, nt instr sg of kamma, <b>irreg</b>	Differs from the usual, generally accepted patterns of conjugation or declension.
ITI	Itivuttaka			Book 4 of the Khuddaka Nikāya; Quotations; lit. thus said
